pixel 	Counts (Total Flux normalized) 	
0 	0.00049307249 	
1 	0.00049308461 	
2 	0.00049337019 	
3 	0.00049262966 	
4 	0.00049288504 	
5 	0.00049341027 	
6 	0.00049324591 	
7 	0.00049275408 	
8 	0.00049316175 	
9 	0.00049292485 	
10 	0.00049246799 	
11 	0.00049287875 	
12 	0.00049296867 	
13 	0.00049232172 	
14 	0.00049364354 	
15 	0.00049322385 	
16 	0.00049292915 	
17 	0.00049348211 	
18 	0.00049300607 	
19 	0.0004933487 	
20 	0.00049328262 	
21 	0.0004929412 	
22 	0.00049313382 	
23 	0.0004931705 	
24 	0.00049287522 	
25 	0.00049221071 	
26 	0.00049229701 	
27 	0.00049339126 	
28 	0.00049283213 	
29 	0.00049278862 	
30 	0.00049314588 	
31 	0.00049306785 	
32 	0.0004930469 	
33 	0.00049334213 	
34 	0.00049312071 	
35 	0.00049285042 	
36 	0.00049236234 	
37 	0.00049301549 	
38 	0.00049345698 	
39 	0.00049352285 	
40 	0.00049323959 	
41 	0.00049318334 	
42 	0.00049277246 	
43 	0.00049233731 	
44 	0.00049232209 	
45 	0.00049247712 	
46 	0.00049285427 	
47 	0.00049250213 	
48 	0.00049300331 	
49 	0.00049302851 	
50 	0.00049267663 	
51 	0.00049311276 	
52 	0.00049352533 	
53 	0.00049308075 	
54 	0.00049252365 	
55 	0.0004926234 	
56 	0.00049282897 	
57 	0.00049300351 	
58 	0.00049227255 	
59 	0.00049338226 	
60 	0.00049307116 	
61 	0.00049214833 	
62 	0.00049239661 	
63 	0.00049261726 	
64 	0.00049237474 	
65 	0.00049291263 	
66 	0.00049191484 	
67 	0.00049237476 	
68 	0.00049258889 	
69 	0.00049286039 	
70 	0.00049280706 	
71 	0.00049309024 	
72 	0.00049302736 	
73 	0.0004927483 	
74 	0.0004928695 	
75 	0.00049245597 	
76 	0.000492776 	
77 	0.00049308714 	
78 	0.00049260855 	
79 	0.00049234688 	
80 	0.00049240336 	
81 	0.00049205169 	
82 	0.00049244624 	
83 	0.00049238707 	
84 	0.00049211999 	
85 	0.0004924776 	
86 	0.00049202977 	
87 	0.00049174712 	
88 	0.00049302791 	
89 	0.00049273573 	
90 	0.00049257388 	
91 	0.00049280828 	
92 	0.00049245195 	
93 	0.00049254871 	
94 	0.00049260177 	
95 	0.00049269877 	
96 	0.000492577 	
97 	0.00049183388 	
98 	0.00049229691 	
99 	0.00049201406 	
100 	0.00049265451 	
101 	0.00049227161 	
102 	0.00049210374 	
103 	0.00049178065 	
104 	0.00049278262 	
105 	0.00049198306 	
106 	0.00049232485 	
107 	0.00049270778 	
108 	0.00049183433 	
109 	0.00049218519 	
110 	0.00049197701 	
111 	0.00049124329 	
112 	0.00049274184 	
113 	0.00049178727 	
114 	0.00049229762 	
115 	0.00049213564 	
116 	0.0004918686 	
117 	0.00049224701 	
118 	0.00049212557 	
119 	0.00049160036 	
120 	0.00049199523 	
121 	0.00049227205 	
122 	0.00049196815 	
123 	0.0004923849 	
124 	0.00049192705 	
125 	0.00049191483 	
126 	0.00049191226 	
127 	0.0004923909 	
128 	0.00049175617 	
129 	0.00049220763 	
130 	0.00049184678 	
131 	0.00049184015 	
132 	0.00049135146 	
133 	0.00049180253 	
134 	0.00049194562 	
135 	0.00049215429 	
136 	0.00049203315 	
137 	0.00049192096 	
138 	0.00049239709 	
139 	0.00049128606 	
140 	0.00049126463 	
141 	0.00049183954 	
142 	0.00049177131 	
143 	0.00049207323 	
144 	0.00049182766 	
145 	0.00049181824 	
146 	0.00049222875 	
147 	0.00049132989 	
148 	0.00049213597 	
149 	0.00049168728 	
150 	0.00049181521 	
151 	0.00049142057 	
152 	0.00049176924 	
153 	0.00049189899 	
154 	0.00049208951 	
155 	0.00049272968 	
156 	0.00049171566 	
157 	0.00049191781 	
158 	0.00049169449 	
159 	0.00049173465 	
160 	0.00049190551 	
161 	0.00049157906 	
162 	0.00049179381 	
163 	0.00049121192 	
164 	0.00049190829 	
165 	0.00049136412 	
166 	0.00049199531 	
167 	0.00049172509 	
168 	0.00049191108 	
169 	0.00049153545 	
170 	0.00049121189 	
171 	0.00049109096 	
172 	0.00049222946 	
173 	0.00049199521 	
174 	0.00049222876 	
175 	0.00049163819 	
176 	0.00049157975 	
177 	0.00049154501 	
178 	0.00049146959 	
179 	0.00049197436 	
180 	0.00049131157 	
181 	0.00049209464 	
182 	0.00049141087 	
183 	0.00049132655 	
184 	0.00049143899 	
185 	0.00049193321 	
186 	0.00049308464 	
187 	0.00049123377 	
188 	0.00049196399 	
189 	0.00049178706 	
190 	0.00049139513 	
191 	0.00049201688 	
192 	0.0004912901 	
193 	0.00049150083 	
194 	0.00049105351 	
195 	0.00049098849 	
196 	0.00049177125 	
197 	0.00049138842 	
198 	0.00049140161 	
199 	0.00049159424 	
200 	0.00049180873 	
201 	0.00049103154 	
202 	0.00049171868 	
203 	0.00049155766 	
204 	0.00049149591 	
205 	0.0004922352 	
206 	0.0004914818 	
207 	0.00049181754 	
208 	0.00049154836 	
209 	0.0004911999 	
210 	0.00049099741 	
211 	0.00049141693 	
212 	0.00049198961 	
213 	0.00049168801 	
214 	0.00049066452 	
215 	0.00049120302 	
216 	0.00049152628 	
217 	0.00049194802 	
218 	0.00049051883 	
219 	0.00049161055 	
220 	0.00049143894 	
221 	0.00049132739 	
222 	0.00049127118 	
223 	0.00049144837 	
224 	0.00049198251 	
225 	0.00049153576 	
226 	0.00049151638 	
227 	0.00049145437 	
228 	0.00049169423 	
229 	0.00049074851 	
230 	0.00049169709 	
231 	0.00049143615 	
232 	0.00049163841 	
233 	0.00049143244 	
234 	0.00049195155 	
235 	0.00049083588 	
236 	0.00049150448 	
237 	0.0004911593 	
238 	0.00049164068 	
239 	0.00049073697 	
240 	0.00049170681 	
241 	0.00049089494 	
242 	0.00049100933 	
243 	0.00049133336 	
244 	0.00049193331 	
245 	0.00049107831 	
246 	0.00049094374 	
247 	0.00049154808 	
248 	0.00049117493 	
249 	0.00049111878 	
250 	0.00049091629 	
251 	0.00049103145 	
252 	0.00049089778 	
253 	0.00049121497 	
254 	0.0004910877 	
255 	0.00049134222 	
256 	0.0004917055 	
257 	0.00049149132 	
258 	0.00049080428 	
259 	0.00049123662 	
260 	0.00049093828 	
261 	0.0004914079 	
262 	0.00049156992 	
263 	0.00049143863 	
264 	0.00049136736 	
265 	0.0004909071 	
266 	0.00049116528 	
267 	0.00049082973 	
268 	0.00049111621 	
269 	0.00049096652 	
270 	0.00049095438 	
271 	0.00049160055 	
272 	0.00049087608 	
273 	0.0004905873 	
274 	0.00049093519 	
275 	0.00049055206 	
276 	0.000491237 	
277 	0.00049114354 	
278 	0.00049096347 	
279 	0.0004908545 	
280 	0.00049049984 	
281 	0.00049105692 	
282 	0.00049104707 	
283 	0.00049160393 	
284 	0.00049037214 	
285 	0.00049134546 	
286 	0.00049074889 	
287 	0.00049103569 	
288 	0.00049108437 	
289 	0.00049089198 	
290 	0.00049207059 	
291 	0.00049092624 	
292 	0.0004908576 	
293 	0.00049091331 	
294 	0.00049135185 	
295 	0.0004907208 	
296 	0.00049034104 	
297 	0.00049074859 	
298 	0.00049062467 	
299 	0.00049041601 	
300 	0.00049078882 	
301 	0.00049091966 	
302 	0.00049054023 	
303 	0.0004907993 	
304 	0.00049070793 	
305 	0.00049057471 	
306 	0.00049088547 	
307 	0.00049080133 	
308 	0.00049106674 	
309 	0.00049120625 	
310 	0.00049080155 	
311 	0.0004905095 	
312 	0.00049035073 	
313 	0.00049070217 	
314 	0.00049097895 	
315 	0.0004904227 	
316 	0.00049105351 	
317 	0.00049060283 	
318 	0.00049075774 	
319 	0.00048979098 	
320 	0.00049092222 	
321 	0.00049051573 	
322 	0.00049056533 	
323 	0.00049017331 	
324 	0.00049027898 	
325 	0.00049032888 	
326 	0.00049025795 	
327 	0.00049086703 	
328 	0.00049088591 	
329 	0.00049042529 	
330 	0.00049060534 	
331 	0.00049021029 	
332 	0.00049018563 	
333 	0.00049041426 	
334 	0.00049088512 	
335 	0.00049027015 	
336 	0.00049100399 	
337 	0.00049022668 	
338 	0.00049104995 	
339 	0.00048994313 	
340 	0.00049086006 	
341 	0.00049078015 	
342 	0.00049035692 	
343 	0.00049069007 	
344 	0.00049037633 	
345 	0.00049062728 	
346 	0.00049089203 	
347 	0.00049067414 	
348 	0.00048994624 	
349 	0.00049016681 	
350 	0.00048973534 	
351 	0.00049047573 	
352 	0.00049031042 	
353 	0.00049025124 	
354 	0.00049006136 	
355 	0.00049018001 	
356 	0.00049073873 	
357 	0.00049005568 	
358 	0.00049033172 	
359 	0.0004905431 	
360 	0.00048994258 	
361 	0.00048989321 	
362 	0.00049024213 	
363 	0.00049006787 	
364 	0.00049029188 	
365 	0.00049088869 	
366 	0.00049049432 	
367 	0.00049051874 	
368 	0.00048999316 	
369 	0.00049021361 	
370 	0.00049011152 	
